household_id,building_type,heating_type,has_solar_panels,has_electric_vehicle,n_residents,area_sqm,smart_meter_installed,monthly_consumption_kwh,energy_poverty_flag
HH_0178,Saniert,Fernwärme,1,0,2,77,1,188.0,0
HH_0179,Altbau,Fernwärme,0,0,1,77,0,289.5,0
HH_0180,Passivhaus,Wärmepumpe,0,0,3,77,1,218.6,0
HH_0181,Saniert,Fernwärme,0,0,2,77,0,301.5,0
HH_0182,Altbau,Wärmepumpe,0,0,3,77,1,546.7,0
HH_0183,Altbau,Gasheizung,0,0,3,77,0,758.2,0
HH_0184,Altbau,Wärmepumpe,0,0,3,77,1,483.7,0
HH_0185,Neubau,Fernwärme,1,0,5,77,1,546.4,0
HH_0186,Saniert,Fernwärme,0,0,2,77,1,267.7,0
HH_0187,Saniert,Gasheizung,0,1,2,77,0,507.3,0
HH_0188,Saniert,Wärmepumpe,0,0,4,77,0,330.2,0
HH_0189,Altbau,Ölheizung,1,0,3,77,1,682.3,0
HH_0190,Neubau,Ölheizung,0,1,1,77,0,469.2,0
HH_0191,Altbau,Gasheizung,1,1,4,77,1,1003.0,0
HH_0192,Altbau,Gasheizung,0,0,1,77,0,446.5,0
HH_0193,Saniert,Fernwärme,0,0,1,77,1,191.5,0
HH_0194,Altbau,Wärmepumpe,0,1,1,77,0,451.5,0
HH_0195,Saniert,Gasheizung,1,0,1,77,1,155.2,0
HH_0196,Neubau,Gasheizung,0,0,1,77,1,247.4,0
HH_0197,Saniert,Fernwärme,0,1,1,77,1,418.1,0
HH_0198,Altbau,Fernwärme,1,0,2,77,0,440.5,0
HH_0199,Saniert,Wärmepumpe,1,0,2,77,1,163.0,0
HH_0200,Passivhaus,Wärmepumpe,0,0,1,77,1,63.6,0
HH_0201,Saniert,Wärmepumpe,1,1,3,77,0,375.6,0
HH_0202,Saniert,Gasheizung,0,0,2,77,1,401.1,0
HH_0203,Saniert,Wärmepumpe,0,0,1,77,1,184.4,0
HH_0204,Neubau,Gasheizung,0,0,2,77,0,387.0,0
HH_0205,Saniert,Wärmepumpe,0,0,2,77,1,281.3,0
HH_0206,Saniert,Gasheizung,0,1,2,77,1,525.7,0
HH_0207,Neubau,Fernwärme,0,0,2,77,0,327.5,0
HH_0208,Saniert,Wärmepumpe,0,0,3,77,0,353.6,0
HH_0209,Neubau,Gasheizung,0,1,3,77,1,724.9,0
HH_0210,Altbau,Gasheizung,0,0,4,77,1,934.2,0
HH_0211,Neubau,Gasheizung,0,0,2,77,0,442.9,0
HH_0212,Altbau,Wärmepumpe,0,0,2,77,1,352.0,0
HH_0213,Neubau,Gasheizung,0,1,2,77,1,611.9,0
HH_0214,Altbau,Gasheizung,1,0,3,77,0,598.8,0
HH_0215,Neubau,Wärmepumpe,0,0,1,77,1,221.1,0
HH_0216,Saniert,Fernwärme,0,0,2,77,1,258.4,0
HH_0217,Neubau,Gasheizung,0,0,2,77,0,434.7,0
HH_0218,Altbau,Wärmepumpe,1,0,3,77,1,423.5,0
HH_0219,Neubau,Ölheizung,0,1,4,77,1,962.8,1
HH_0220,Altbau,Ölheizung,0,0,4,77,0,988.0,0
HH_0221,Neubau,Gasheizung,0,0,1,77,0,372.8,0
HH_0222,Neubau,Fernwärme,1,0,2,77,0,227.6,0
HH_0223,Passivhaus,Wärmepumpe,0,0,4,77,0,265.3,0
HH_0224,Altbau,Ölheizung,0,0,2,77,0,640.0,0
HH_0225,Saniert,Wärmepumpe,0,1,2,77,1,491.3,0
HH_0226,Saniert,Fernwärme,0,0,3,77,1,400.9,0
HH_0227,Passivhaus,Fernwärme,0,0,3,77,0,267.4,0
HH_0228,Altbau,Wärmepumpe,1,0,5,77,1,615.7,0
HH_0229,Neubau,Fernwärme,0,1,3,77,0,626.6,0
HH_0230,Altbau,Gasheizung,0,0,2,77,0,529.4,0
HH_0231,Neubau,Gasheizung,0,1,2,77,0,525.0,0
HH_0232,Altbau,Wärmepumpe,0,1,4,77,0,837.5,0
HH_0233,Saniert,Ölheizung,0,1,3,77,1,687.5,0
HH_0234,Altbau,Wärmepumpe,0,1,3,77,0,686.7,0
HH_0235,Neubau,Wärmepumpe,1,0,5,77,1,421.4,0
HH_0236,Neubau,Wärmepumpe,0,1,3,77,0,503.0,0
HH_0237,Passivhaus,Gasheizung,0,0,2,77,0,231.2,0
HH_0238,Saniert,Gasheizung,1,1,3,77,1,561.2,0
HH_0239,Altbau,Fernwärme,0,0,3,77,0,555.6,0
HH_0240,Altbau,Ölheizung,1,0,1,77,1,246.7,0
HH_0241,Altbau,Gasheizung,0,0,2,77,0,597.4,0
HH_0242,Saniert,Wärmepumpe,0,1,3,77,1,481.9,0
HH_0243,Saniert,Gasheizung,0,0,2,77,1,346.5,0
HH_0244,Neubau,Gasheizung,0,0,3,77,0,528.1,0
HH_0245,Altbau,Gasheizung,0,1,2,77,1,731.5,0
HH_0246,Saniert,Wärmepumpe,1,0,5,77,1,406.1,0
HH_0247,Neubau,Gasheizung,1,0,2,77,0,384.5,0
HH_0248,Passivhaus,Gasheizung,0,0,1,77,1,105.7,0
HH_0249,Neubau,Fernwärme,1,0,2,77,0,233.0,0
HH_0250,Altbau,Ölheizung,0,0,2,77,0,557.3,0
HH_0251,Neubau,Gasheizung,1,1,2,77,0,441.0,0
HH_0252,Altbau,Fernwärme,0,0,2,77,1,455.2,0
HH_0253,Saniert,Gasheizung,1,0,3,77,0,379.4,0
HH_0254,Saniert,Ölheizung,0,0,2,77,0,371.7,0
HH_0255,Altbau,Fernwärme,1,1,3,77,1,699.9,0
HH_0256,Altbau,Fernwärme,1,0,3,77,0,528.8,0
HH_0257,Altbau,Gasheizung,0,0,3,77,1,741.6,0
HH_0258,Passivhaus,Wärmepumpe,0,0,2,77,0,135.8,0
HH_0259,Altbau,Wärmepumpe,1,1,3,77,1,623.1,0
HH_0260,Altbau,Gasheizung,0,1,2,77,1,787.7,0
HH_0261,Altbau,Gasheizung,0,0,4,77,0,936.0,0
HH_0262,Neubau,Wärmepumpe,0,0,4,77,0,482.9,0
HH_0263,Saniert,Fernwärme,1,0,2,77,1,234.0,0
HH_0264,Saniert,Gasheizung,0,0,1,77,1,218.4,0
HH_0265,Altbau,Wärmepumpe,0,0,1,77,0,277.5,0
HH_0266,Saniert,Gasheizung,1,0,2,77,0,309.6,0
HH_0267,Neubau,Gasheizung,0,0,3,77,0,566.6,0
HH_0268,Passivhaus,Wärmepumpe,0,1,3,77,1,397.7,0
HH_0269,Altbau,Gasheizung,0,0,2,77,1,559.9,0
HH_0270,Altbau,Wärmepumpe,1,0,3,77,0,352.4,0
HH_0271,Neubau,Gasheizung,0,0,4,77,0,630.4,0
HH_0272,Altbau,Wärmepumpe,0,0,3,77,0,497.8,0
HH_0273,Altbau,Wärmepumpe,1,0,1,77,0,173.6,0
HH_0274,Saniert,Ölheizung,0,0,3,77,1,512.3,0
HH_0275,Saniert,Gasheizung,1,0,2,77,1,162.3,0
HH_0276,Neubau,Fernwärme,0,1,4,77,0,774.3,0
HH_0277,Saniert,Gasheizung,1,1,2,77,1,368.3,0
HH_0278,Neubau,Wärmepumpe,0,0,2,77,0,286.5,0
HH_0279,Neubau,Wärmepumpe,1,1,3,77,1,466.8,0
HH_0280,Neubau,Gasheizung,0,0,2,77,1,431.2,0
HH_0281,Saniert,Wärmepumpe,0,0,3,77,0,270.4,0
HH_0282,Altbau,Gasheizung,1,0,1,77,1,242.0,0
HH_0283,Altbau,Gasheizung,0,0,3,77,0,736.2,0
HH_0284,Neubau,Gasheizung,1,1,1,77,1,285.7,0
HH_0285,Neubau,Fernwärme,0,0,2,77,1,378.1,0
HH_0286,Saniert,Fernwärme,0,0,3,77,0,362.3,0
HH_0287,Neubau,Gasheizung,1,0,1,77,1,193.8,0
HH_0288,Altbau,Wärmepumpe,0,1,2,77,1,645.6,0
HH_0289,Altbau,Gasheizung,1,1,3,77,1,949.4,1
HH_0290,Altbau,Gasheizung,0,0,3,77,1,711.4,0
HH_0291,Saniert,Fernwärme,0,0,1,77,0,237.7,0
HH_0292,Neubau,Wärmepumpe,1,0,3,77,1,240.4,0
HH_0293,Saniert,Gasheizung,0,0,1,77,1,176.7,0
HH_0294,Neubau,Gasheizung,0,0,2,77,1,438.5,0
HH_0295,Saniert,Fernwärme,1,0,2,77,1,142.9,0
HH_0296,Passivhaus,Gasheizung,0,0,1,77,0,102.9,0
HH_0297,Saniert,Gasheizung,0,0,5,77,0,685.7,0
HH_0298,Saniert,Fernwärme,1,0,1,77,1,154.7,0
HH_0299,Neubau,Wärmepumpe,1,0,3,77,1,186.9,0
HH_0300,Passivhaus,Wärmepumpe,0,1,4,77,1,494.1,0
HH_0301,Saniert,Ölheizung,0,0,5,77,1,759.3,0
HH_0302,Passivhaus,Gasheizung,1,0,2,77,1,50.0,0
HH_0303,Neubau,Fernwärme,0,0,4,77,1,520.0,0
HH_0304,Saniert,Gasheizung,0,0,5,77,1,696.0,0
HH_0305,Neubau,Wärmepumpe,1,0,1,77,1,118.9,0
HH_0306,Altbau,Ölheizung,0,1,2,77,1,766.9,0
HH_0307,Neubau,Wärmepumpe,0,0,1,77,1,233.4,0
HH_0308,Saniert,Fernwärme,1,0,3,77,0,395.9,0
HH_0309,Altbau,Fernwärme,1,0,3,77,0,531.5,0
HH_0310,Neubau,Gasheizung,1,0,2,77,0,292.4,0
HH_0311,Neubau,Fernwärme,0,1,3,77,0,666.9,0
HH_0312,Neubau,Ölheizung,0,0,1,77,0,255.2,0
HH_0313,Saniert,Wärmepumpe,1,1,4,77,1,493.9,0
HH_0314,Saniert,Gasheizung,0,1,1,77,1,406.8,0
HH_0315,Neubau,Gasheizung,1,0,3,77,0,434.4,0
HH_0316,Altbau,Gasheizung,0,0,1,77,1,396.2,0
HH_0317,Neubau,Gasheizung,1,0,2,77,1,313.6,0
HH_0318,Neubau,Wärmepumpe,0,1,3,77,0,606.3,0
HH_0319,Neubau,Gasheizung,0,0,2,77,1,457.0,0
HH_0320,Altbau,Gasheizung,0,0,2,77,0,548.5,0
HH_0321,Neubau,Wärmepumpe,1,0,4,77,1,282.6,0
HH_0322,Altbau,Wärmepumpe,0,0,1,77,0,256.1,0
HH_0323,Saniert,Wärmepumpe,0,1,4,77,1,588.5,0
HH_0324,Altbau,Fernwärme,0,0,1,77,1,295.1,0
HH_0325,Neubau,Gasheizung,0,0,1,77,0,239.4,0
HH_0326,Altbau,Gasheizung,1,0,1,77,1,282.5,0
HH_0327,Passivhaus,Gasheizung,0,0,5,77,0,455.6,0
HH_0328,Neubau,Wärmepumpe,0,0,1,77,1,179.7,0
HH_0329,Altbau,Gasheizung,0,0,4,77,1,944.4,0
HH_0330,Neubau,Fernwärme,1,0,5,77,1,576.0,0
HH_0331,Saniert,Gasheizung,1,0,2,77,0,270.9,0
HH_0332,Saniert,Ölheizung,0,0,3,77,0,545.3,0
HH_0333,Saniert,Wärmepumpe,0,0,3,77,1,312.7,0
HH_0334,Altbau,Wärmepumpe,0,1,2,77,0,551.1,0
HH_0335,Saniert,Fernwärme,1,1,1,77,1,147.7,0
HH_0336,Saniert,Fernwärme,0,0,2,77,1,264.7,0
HH_0337,Neubau,Wärmepumpe,1,0,3,77,1,314.1,0
HH_0338,Saniert,Ölheizung,0,1,3,77,0,716.0,0
HH_0339,Altbau,Wärmepumpe,1,0,2,77,1,223.7,0
HH_0340,Altbau,Fernwärme,0,1,1,77,1,490.7,0
HH_0341,Saniert,Gasheizung,1,1,4,77,1,759.3,0
HH_0342,Neubau,Fernwärme,0,0,1,77,1,197.9,0
HH_0343,Altbau,Gasheizung,0,0,3,77,0,802.6,0
HH_0344,Neubau,Gasheizung,1,0,1,77,0,150.0,0
HH_0345,Saniert,Fernwärme,0,0,4,77,0,570.6,0
HH_0346,Altbau,Gasheizung,0,1,4,77,1,1071.1,0
HH_0347,Altbau,Gasheizung,1,1,2,77,0,682.8,0
HH_0348,Altbau,Gasheizung,0,0,1,77,1,349.2,0
HH_0349,Passivhaus,Fernwärme,0,0,2,77,1,163.3,0
HH_0350,Passivhaus,Ölheizung,0,0,2,77,1,270.8,0
HH_0351,Neubau,Fernwärme,0,0,2,77,0,310.3,0
HH_0352,Neubau,Fernwärme,1,0,3,77,1,301.7,0
HH_0353,Altbau,Wärmepumpe,0,1,2,77,1,556.8,0
HH_0354,Altbau,Gasheizung,0,0,2,77,0,627.6,0
HH_0355,Saniert,Gasheizung,0,0,3,77,0,490.0,0
HH_0356,Altbau,Wärmepumpe,0,0,3,77,1,544.9,0
HH_0357,Neubau,Gasheizung,1,0,2,77,0,216.5,0
HH_0358,Neubau,Gasheizung,1,0,3,77,0,440.2,0
HH_0359,Altbau,Wärmepumpe,0,0,3,77,0,552.2,0
HH_0360,Neubau,Fernwärme,0,0,3,77,0,453.8,0
HH_0361,Neubau,Gasheizung,1,1,2,77,1,474.5,0
HH_0362,Saniert,Fernwärme,0,0,1,77,1,199.8,0
HH_0363,Altbau,Fernwärme,0,0,4,77,1,714.3,0
HH_0364,Altbau,Fernwärme,0,1,4,77,1,994.3,0
HH_0365,Neubau,Ölheizung,0,1,3,77,1,802.6,0
HH_0366,Passivhaus,Gasheizung,1,0,1,77,1,137.7,0
HH_0367,Altbau,Wärmepumpe,0,0,3,77,0,504.6,0
HH_0368,Passivhaus,Ölheizung,1,1,4,77,1,472.9,0
HH_0369,Saniert,Wärmepumpe,0,0,2,77,0,221.2,0
HH_0370,Saniert,Fernwärme,0,0,1,77,1,223.2,0
HH_0371,Altbau,Wärmepumpe,1,0,3,77,0,368.7,0
HH_0372,Altbau,Wärmepumpe,1,0,4,77,0,533.1,0
HH_0373,Altbau,Gasheizung,1,0,1,77,0,288.1,0
HH_0374,Neubau,Ölheizung,0,0,3,77,0,579.3,0
HH_0375,Passivhaus,Fernwärme,1,1,3,77,1,355.9,0
HH_0376,Altbau,Ölheizung,0,1,3,77,0,993.9,1
HH_0377,Neubau,Fernwärme,0,1,3,77,1,580.8,0
HH_0378,Altbau,Gasheizung,0,0,3,77,1,704.5,0
HH_0379,Saniert,Gasheizung,0,0,1,77,1,212.6,0
HH_0380,Altbau,Ölheizung,1,1,2,77,0,642.3,0
HH_0381,Altbau,Gasheizung,1,0,3,77,1,618.4,0
HH_0382,Altbau,Gasheizung,0,0,1,77,0,442.2,1
HH_0383,Saniert,Wärmepumpe,0,0,3,77,1,289.8,0
HH_0384,Altbau,Wärmepumpe,1,0,3,77,1,393.1,0
HH_0385,Altbau,Fernwärme,0,0,2,77,1,540.7,0
HH_0386,Altbau,Wärmepumpe,0,0,3,77,0,448.0,0
HH_0387,Passivhaus,Fernwärme,0,1,2,77,1,347.5,0
HH_0388,Neubau,Ölheizung,0,0,2,77,1,502.3,0
HH_0389,Saniert,Gasheizung,1,1,2,77,1,342.7,0
HH_0390,Saniert,Gasheizung,0,1,4,77,1,678.0,0
HH_0391,Altbau,Wärmepumpe,0,0,2,77,0,434.1,0
HH_0392,Neubau,Ölheizung,1,0,3,77,0,521.8,0
HH_0393,Altbau,Gasheizung,0,0,1,77,0,402.2,0
HH_0394,Neubau,Gasheizung,1,0,1,77,1,210.8,0
HH_0395,Neubau,Fernwärme,0,0,1,77,0,222.9,0
HH_0396,Neubau,Wärmepumpe,1,0,3,77,1,278.4,0
HH_0397,Altbau,Ölheizung,0,0,2,77,1,550.8,0
HH_0398,Altbau,Ölheizung,0,0,2,77,1,608.7,0
